smiles,energy_hartree,gap_eV
CC1C(N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3)c2c1F,-86.15124147260357,2.4641866069400917
CC(C)Sc1ccc(CC2CCN(C3CCN(C(=O)c4ccno4)CC3)CC2)cc1,-88.3542232192101,1.468044206554477
CCC(=O)c1c(O)n(O)c2cc(NC(=O)c3cnc4ccccc4n3)ccc12,-78.92744911017961,1.3278568616294304
CC(C)(C)NC(=O)NC[C@@H]1Cc2ccccc2CN1/C(S)=N/C[C@H]1CCCO1,-84.41479927260585,3.5677731586021446
CCNCC1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(CC)c3c2Cl)C1,-86.13186947163939,1.891267812246925
Cc1ccc(CN2C(=O)C(=O)N(CC(=O)O)C2=O)cc1,-60.19353778167606,1.9317215857916896
COc1ccc(OC)c2c1CN(C(C)=O)CC2O,-55.7113649522512,3.4702481704382064
Cn1cc(C2=C(c3cc(Cl)cc(Cl)c3)C(=O)NC2=O)c2ccccc21,-69.92435732619947,1.3477405689359914
CCOc1cc2c(cc1C/C=C/c1ccc(OC)cc1)OCO2,-67.12176969475973,3.52293723360528
COc1ccc(CCN2CCCN(c3cccccc3=O)CC2)cc1OC,-79.34993777449888,2.1668787962892666
COc1ccccc1CC[S+](C)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,-94.1942987954535,0.1068200681601456
CCCCc1ccc(N)c(C[S+]([O-])c2nc3ccccc3[nH]2)c1,-65.31210411379101,2.2293670947918014
CNc1ncc(Cc2cc(OC)c(OC)c(OC)c2)c(N)n1,-66.18908171435537,2.7214826027823165
C=CCN1CCc2nc(N)sc2CC1,-41.05414582866696,3.245545175161088
CN(C(=O)[C@H](Cc1ccc(C(=N)NN)s1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,-99.44130293745395,2.1295302476633866
C[C@@H](CN1CCN(c2cc(F)c(F)cc2F)CC1)N1C(=O)CC2(CCCC2)CC1=O,-92.5658027492872,2.2018139738324862
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,-59.86664671229082,2.3897727905143102
Nc1nc(O)c2ncn(OCC/C=C/P(=O)(O)O)c2n1,-62.93551525258477,2.862858983421436
O=C1c2cccc(O)c2C(=O)c2c(O)cc(CNCCCl)cc21,-67.28692868570882,0.9663415990729868
CO[C@]12OO[C@@](C)(CO)C=C1C(=O)C(C)(C)C(=O)C2(C)C,-67.64186112037194,2.592247214379854
O=C1C[C@@H](NC(=O)OCc2ccccc2)C(=O)N1,-53.96804767335739,3.2168425764528426
COc1ccc(C2=C(c3ccc(SC)cc3)CC3CCCN3C2)cc1O,-74.15685322470866,2.8720664571900314
CNC(=O)NCCNCC(O)COc1ccccc1C#N,-64.013402657651,2.258160677160697
O=C(NCCc1ccccc1)C1CCCCN1S(=O)(=O)c1ccccc1,-76.37230135627978,2.8843370918522053
O=S1(=O)c2ccccc2CCC12CCN(Cc1ccccc1)CC2,-68.85069409702652,2.516748235387884
Nc1nc(O)c2ncn(OCC/C=C\P(=O)(O)O)c2n1,-62.93850542385232,2.6553350783453014
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1(C)c1cccc([N+](=O)[O-])c1,-78.86669716667278,1.474950687259592
COc1cc2c(cc1OC)-c1cc(=Nc3c(C)cccc3C)n(C)c(=O)n1CC2,-83.04072742390261,2.1431902114754022
CS1(=O)=Nc2nc(C(=O)O)cn2-c2ccccc21,-52.3149835536022,2.5093786539109444
Cc1c(CSc2cccc(Cl)c2)cnc2nc(N)nc(N)c12,-61.66192065461626,1.5389449261301125
CC(=O)Nc1cccc(/C=C/c2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,-75.13857056493086,2.793261339738664
FC(F)(F)c1ccccc1-n1ccnc1,-45.02960518565802,2.7774076691349374
N=C(N)c1ccc(OC/C=C/COc2ccc(C(=N)N)cc2)cc1,-68.47534387672378,3.166247099521465
CC[C@@H](C)[C@@H](NC(=O)[C@@H](C)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCSC)C(=O)O,-102.75883502584873,2.43618335325282
CN[C@@H]1CC[C@@H](c2cccc(OC)c2)c2ccccc21,-56.23369214676372,3.4704375262243907
Oc1cccc(C2CCCN3CCCCC23)c1,-49.84249962874448,3.057687381749937
COc1ccc2c(c1)c(O)c(C(=O)Nc1nn[nH]n1)n2-c1ccccc1,-73.26753713575867,1.9913771414838903
